Movie_ID,Genre,Release_Year,Runtime_Minutes,Budget_Million,Marketing_Million,Opening_Weekend_Million,Theater_Count,IMDb_Rating,Critic_Score,Audience_Score,Star_Power,Franchise,Sequel,Box_Office_Revenue_Million
49,Romance,2024,82,102.14,53.85,28.83,2060,5.9,53,87,4.1,Yes,Yes,514.9
50,Thriller,2018,131,300.0,95.69,100.81,4196,7.3,79,87,9.2,No,No,1135.81
51,Drama,2014,146,42.15,12.68,41.43,2372,6.8,95,71,8.6,No,No,310.21
52,Action,2018,106,57.81,30.32,55.33,1488,8.0,97,98,7.5,Yes,Yes,1144.78
53,Horror,2019,129,152.47,64.05,100.87,2854,7.7,81,86,7.6,No,No,601.27
54,Comedy,2013,118,20.17,3.96,16.91,1518,6.6,55,66,7.8,No,No,236.59
55,Thriller,2018,107,129.46,21.61,61.82,3036,6.5,65,80,9.5,Yes,Yes,982.34
56,Horror,2014,132,73.18,27.5,54.21,2746,6.8,62,83,8.7,Yes,No,441.94
57,Comedy,2019,99,30.88,16.12,27.45,2449,8.6,76,99,7.0,Yes,Yes,414.95
58,Animation,2018,116,22.68,11.06,29.51,2504,8.4,98,97,7.3,No,No,489.16
59,Animation,2012,120,35.52,14.93,29.24,2806,6.3,72,76,3.7,No,No,398.3
60,Fantasy,2024,119,12.46,2.56,38.62,2216,7.7,98,90,7.3,Yes,No,546.77
61,Horror,2013,99,40.01,10.07,30.68,3104,5.7,55,83,5.4,No,No,248.18
62,Animation,2018,156,82.43,41.23,60.25,2602,6.7,75,76,3.2,Yes,Yes,1015.91
63,Comedy,2019,140,40.36,9.01,38.63,2077,6.4,58,80,8.5,No,No,277.54
64,Fantasy,2020,135,135.6,35.44,60.97,3324,8.0,82,98,6.1,Yes,Yes,1200.0
65,Comedy,2015,144,161.79,32.66,88.7,3148,6.1,67,76,9.8,No,No,639.08
66,Fantasy,2011,116,126.03,52.99,72.54,3861,7.4,78,83,4.3,No,No,922.52
67,Horror,2016,108,63.9,33.71,32.97,2941,7.1,80,84,5.8,No,No,342.16
68,Thriller,2011,93,12.14,3.13,11.96,2284,7.0,88,81,5.6,No,No,197.79
69,Romance,2020,101,34.81,11.84,20.48,2179,8.4,98,99,3.0,No,No,230.67
70,Adventure,2011,95,50.15,20.25,34.32,2048,8.5,85,93,5.4,No,No,618.37
71,Thriller,2020,104,30.76,16.91,13.36,2428,7.0,78,74,4.3,No,No,297.01
72,Sci-Fi,2010,121,50.23,9.64,30.46,1689,6.8,84,80,3.3,No,No,448.65
73,Comedy,2025,133,156.63,54.73,75.8,3977,5.9,77,70,4.3,No,No,610.2
74,Sci-Fi,2020,133,18.87,5.74,23.59,1881,7.1,72,85,3.9,No,No,336.66
75,Thriller,2020,92,178.56,88.62,114.94,3560,8.7,98,95,7.9,No,No,1016.37
76,Fantasy,2021,129,97.75,33.27,55.32,2225,7.0,81,83,2.2,No,No,626.57
77,Adventure,2020,138,65.48,12.73,46.73,2751,7.7,74,90,6.9,Yes,Yes,1072.4
78,Adventure,2012,110,34.59,13.97,31.55,1884,6.0,76,80,8.1,No,No,493.54
79,Action,2015,139,31.16,14.28,24.47,2405,6.8,78,81,5.8,No,No,421.86
80,Adventure,2017,133,19.11,2.89,22.51,2351,7.5,66,88,9.5,No,No,423.65
81,Romance,2018,90,167.88,82.86,110.13,2987,7.2,77,89,7.7,No,No,652.65
82,Adventure,2016,159,149.42,33.53,53.04,2583,7.8,86,98,8.0,No,No,997.5
83,Thriller,2013,101,22.05,8.18,16.21,2764,6.6,68,69,3.6,Yes,Yes,351.97
84,Action,2015,134,38.4,12.15,24.67,2049,5.7,77,58,8.2,No,No,465.07
85,Thriller,2014,133,72.88,31.91,61.04,2568,8.0,98,99,8.7,No,No,588.97
86,Thriller,2017,91,45.27,13.51,29.4,2450,6.4,68,82,4.9,No,No,255.0
87,Drama,2010,119,15.8,7.87,32.15,1315,7.5,78,85,3.7,Yes,Yes,247.59
88,Action,2010,133,35.87,15.86,19.33,2354,7.5,82,87,5.1,Yes,Yes,637.81
89,Thriller,2022,90,195.49,79.97,103.87,3609,5.8,64,66,7.9,Yes,Yes,1200.0
90,Drama,2024,117,37.48,17.56,29.13,1816,7.9,81,93,5.3,No,No,290.95
91,Drama,2020,135,49.46,22.34,24.09,1667,6.6,37,69,7.9,No,No,237.54
92,Action,2015,136,26.13,4.3,25.77,2338,7.1,97,91,2.9,Yes,No,485.71
93,Sci-Fi,2019,107,80.59,24.81,50.24,3089,6.8,76,82,8.4,No,No,695.84
94,Fantasy,2021,146,59.27,30.96,34.71,2423,8.4,90,98,4.0,No,No,562.08
95,Romance,2011,141,33.95,6.8,39.7,1388,8.2,93,86,4.0,No,No,299.92
96,Fantasy,2014,120,23.55,10.48,6.56,1483,5.7,64,74,6.7,No,No,229.93
97,Adventure,2010,102,137.04,73.98,66.67,2817,8.9,93,93,2.6,No,No,1085.43
98,Romance,2016,92,19.37,3.31,7.63,2757,6.6,64,72,2.2,Yes,Yes,158.43
99,Adventure,2010,123,76.31,32.27,43.44,2363,8.8,78,99,4.1,No,No,704.34
100,Thriller,2013,144,13.56,4.57,25.63,1688,6.9,63,99,6.3,Yes,Yes,341.52
101,Comedy,2018,112,87.1,33.24,26.47,1747,6.8,65,82,9.3,No,No,339.82
102,Action,2010,98,103.34,19.03,62.83,2402,6.9,84,58,8.8,No,No,807.9
103,Romance,2013,131,112.05,18.74,46.31,2192,6.8,83,74,5.9,Yes,No,476.82
104,Romance,2015,118,49.53,20.64,16.03,1744,9.1,90,99,2.3,Yes,Yes,334.03
105,Thriller,2015,125,154.0,73.82,74.89,3246,7.0,51,72,6.3,No,No,739.69
106,Sci-Fi,2021,104,246.51,114.09,104.52,3818,6.9,77,88,7.6,No,No,1200.0
107,Drama,2024,108,44.62,16.4,13.8,3051,7.2,76,85,4.7,No,No,214.64
108,Thriller,2022,104,41.02,7.79,12.96,2708,6.3,67,84,2.9,Yes,No,306.44
109,Animation,2017,125,60.6,25.77,37.42,2041,8.4,98,91,4.2,Yes,Yes,889.27
110,Drama,2010,108,40.32,9.95,25.33,1704,5.9,68,65,8.2,No,No,205.21
111,Action,2016,127,36.66,18.86,23.05,2821,6.6,64,83,4.8,Yes,Yes,645.65
112,Drama,2010,103,38.8,18.83,41.86,2979,7.8,74,90,8.5,No,No,260.42
113,Sci-Fi,2025,125,167.77,72.77,79.48,2213,7.1,76,82,4.6,Yes,Yes,1200.0
114,Drama,2022,129,90.84,48.1,43.85,2664,7.5,74,99,3.3,No,No,336.36
115,Action,2023,122,40.23,6.54,18.93,2036,8.3,90,99,5.5,Yes,Yes,647.36
116,Sci-Fi,2016,133,11.15,4.96,24.39,2225,7.9,97,73,5.6,Yes,Yes,600.54
117,Fantasy,2012,105,20.15,5.68,30.57,2953,7.2,66,91,2.1,No,No,260.33
118,Romance,2020,129,76.29,39.09,29.15,2245,8.8,97,99,2.9,No,No,365.46
119,Romance,2017,120,13.85,3.55,3.45,894,6.6,83,89,3.5,Yes,No,168.64
120,Adventure,2012,99,66.54,29.27,35.98,2688,7.0,77,74,2.9,Yes,No,774.18
121,Fantasy,2023,77,27.51,13.78,25.75,2743,7.1,86,86,4.7,Yes,Yes,628.64
122,Fantasy,2025,81,58.38,9.73,36.98,2174,7.0,75,83,9.7,No,No,493.18
123,Drama,2023,75,57.33,17.72,22.45,1963,6.2,72,65,6.1,No,No,253.67
124,Romance,2022,124,59.48,27.06,37.86,2117,5.8,70,79,7.0,Yes,No,361.26
125,Action,2010,109,42.56,14.13,34.61,2608,7.4,76,84,4.9,No,No,429.59
126,Horror,2022,117,41.66,10.7,37.62,1948,6.6,94,88,4.6,No,No,217.12
127,Horror,2022,111,34.43,8.19,10.8,2274,8.6,98,91,2.2,No,No,175.75
128,Sci-Fi,2023,127,75.33,15.26,38.66,2492,7.0,91,69,6.0,No,No,618.31
129,Romance,2025,127,92.82,45.75,61.99,2598,6.9,88,79,5.9,Yes,Yes,605.25
130,Romance,2017,116,24.9,9.47,25.16,2375,8.0,91,94,3.3,Yes,Yes,280.72
131,Horror,2012,117,53.18,9.6,36.4,2039,7.4,96,81,8.1,Yes,Yes,476.48
132,Romance,2011,118,62.5,18.94,35.39,2147,7.0,80,54,5.9,No,No,285.39
133,Drama,2010,143,61.98,18.41,51.16,2757,6.6,67,81,4.7,No,No,284.86
134,Animation,2023,75,61.3,13.65,22.3,1858,9.5,98,99,3.2,No,No,469.99
135,Comedy,2012,102,42.35,13.73,27.39,1741,7.4,72,92,6.4,Yes,Yes,430.39
136,Fantasy,2024,132,65.94,18.65,48.55,1763,8.0,67,89,8.0,No,No,584.04
137,Adventure,2011,137,82.19,23.57,11.14,2964,6.3,62,71,4.3,Yes,Yes,729.76
138,Sci-Fi,2011,124,60.28,26.86,26.68,2290,6.6,75,91,3.8,Yes,Yes,714.89
139,Animation,2015,111,76.42,18.29,48.55,1831,8.8,98,86,6.2,No,No,678.11
140,Horror,2021,152,104.7,42.59,39.16,3169,8.2,81,92,3.2,Yes,Yes,608.43
141,Fantasy,2010,119,16.51,6.25,36.21,1671,7.5,93,88,7.3,Yes,No,509.99
142,Romance,2011,116,101.55,38.31,51.69,2278,6.8,64,85,6.8,No,No,332.74
143,Adventure,2023,142,68.71,28.53,23.79,2321,6.9,68,83,2.7,Yes,Yes,782.81
144,Romance,2015,125,26.7,9.86,12.85,2780,6.6,88,70,2.3,Yes,Yes,225.65
145,Action,2012,134,92.66,46.49,63.18,2436,6.2,70,85,7.0,Yes,Yes,1200.0
146,Action,2024,136,42.45,17.84,23.74,2470,7.8,84,90,4.4,No,No,453.24
147,Adventure,2013,108,46.39,17.11,29.5,2581,7.5,85,72,2.7,No,No,439.23
148,Adventure,2010,150,39.54,19.05,21.6,2377,7.7,73,91,8.1,Yes,Yes,790.4
149,Horror,2017,75,66.95,26.28,32.06,3038,6.8,73,84,4.5,No,No,351.54
150,Adventure,2022,75,33.01,8.8,19.37,1744,7.3,81,99,5.7,Yes,No,538.4
151,Drama,2016,101,98.82,23.01,68.35,2168,6.8,88,84,3.9,No,No,317.62
152,Romance,2016,107,50.25,10.6,24.05,1721,6.5,56,64,7.0,No,No,220.06
153,Animation,2012,122,43.41,22.13,37.4,2118,8.4,98,83,4.4,No,No,554.86
154,Thriller,2025,101,89.72,38.94,48.54,2134,7.2,79,95,9.7,No,No,486.72
155,Adventure,2019,115,44.68,23.45,40.01,2276,7.5,72,80,7.6,No,No,565.65
156,Sci-Fi,2019,111,101.86,39.86,67.04,2755,7.8,73,76,3.1,No,No,817.95
157,Action,2012,155,103.97,35.28,61.63,3245,7.2,83,93,5.3,No,No,843.97
158,Drama,2023,99,23.1,4.02,8.6,2153,7.3,68,81,5.1,No,No,180.91
159,Fantasy,2011,81,113.11,47.35,56.03,2610,6.2,64,83,6.3,No,No,737.11
160,Thriller,2021,137,21.26,8.14,36.39,2197,6.4,70,68,8.7,No,No,326.67
161,Animation,2010,101,117.78,64.32,82.18,2345,6.3,82,88,6.7,Yes,No,1200.0
162,Thriller,2016,113,205.57,50.5,110.73,3631,7.6,94,96,2.5,Yes,Yes,1200.0
163,Adventure,2016,102,97.12,35.19,37.9,2834,7.2,74,77,7.2,No,No,794.73
164,Horror,2021,130,13.54,5.56,9.8,1987,6.4,70,61,2.1,No,No,85.87
165,Action,2025,88,109.8,44.78,57.17,2996,7.6,68,99,8.2,No,No,832.74
166,Action,2011,75,236.82,88.69,70.46,3609,7.5,63,85,7.3,Yes,No,1200.0
167,Fantasy,2016,141,45.17,20.81,25.52,2783,6.5,61,70,4.5,Yes,Yes,626.47
168,Horror,2022,120,53.77,12.47,31.87,3195,7.1,90,95,4.3,No,No,210.92
169,Romance,2017,136,25.4,11.18,34.83,1227,7.5,91,96,8.4,No,No,213.05
170,Comedy,2010,140,67.37,26.81,31.85,1799,6.4,76,87,8.3,Yes,No,416.51
171,Drama,2018,97,125.5,63.81,57.49,2951,7.6,69,87,4.8,No,No,483.22
172,Action,2016,116,86.56,42.32,60.16,2451,7.3,74,99,4.4,No,No,720.17
173,Sci-Fi,2012,125,300.0,82.82,157.38,5000,6.3,62,63,6.5,No,No,1200.0
174,Action,2017,113,56.19,14.64,35.06,2416,7.3,79,80,2.1,No,No,399.74
175,Thriller,2016,109,19.06,10.34,1.57,2668,7.4,80,90,2.7,No,No,177.06
176,Action,2020,111,61.46,22.18,24.6,1329,6.6,64,89,3.0,No,No,431.64
177,Action,2024,137,11.43,5.86,17.23,2310,6.7,78,85,3.5,No,No,246.21
178,Comedy,2022,110,38.89,8.38,26.18,1792,6.3,73,74,6.1,Yes,Yes,392.95
179,Comedy,2017,127,158.09,64.36,57.18,2857,6.7,68,75,9.9,No,No,511.36
180,Animation,2015,122,67.94,32.2,61.66,2287,7.1,82,94,7.2,Yes,No,932.24
181,Romance,2018,96,61.8,32.69,25.04,1644,6.7,86,86,2.5,Yes,No,348.39
182,Sci-Fi,2024,121,179.62,51.18,115.57,3638,5.9,81,63,6.2,No,No,1200.0
183,Action,2014,84,46.13,20.3,37.85,2311,6.5,78,69,6.0,No,No,564.35
184,Action,2012,123,124.9,45.65,46.44,3057,6.8,81,75,3.2,No,No,795.65
185,Drama,2012,133,59.82,10.42,39.87,2782,7.8,84,84,9.4,No,No,305.67
186,Comedy,2010,137,70.41,29.99,46.26,3191,7.6,94,97,5.5,No,No,430.74
187,Sci-Fi,2021,96,24.93,10.62,27.91,1843,7.8,75,94,10.0,No,No,496.46
188,Fantasy,2024,104,40.21,21.0,39.72,2401,6.5,82,82,5.4,No,No,533.06
189,Animation,2017,121,22.17,7.74,36.5,2146,7.2,77,86,6.9,Yes,Yes,645.07
190,Romance,2011,105,51.7,12.52,22.99,2454,5.2,75,66,2.8,Yes,Yes,275.87
191,Horror,2012,76,70.89,11.9,45.62,2634,7.4,88,72,5.6,No,No,310.89
192,Romance,2025,104,26.73,8.45,15.82,2836,7.6,83,95,3.9,No,No,163.61
193,Thriller,2017,121,208.37,56.42,102.82,3445,6.8,74,75,8.7,No,No,971.6
194,Action,2023,136,65.9,29.95,60.67,1630,7.3,86,85,8.3,No,No,741.27
195,Animation,2025,149,57.11,16.66,27.68,1965,5.9,72,67,8.6,No,No,439.94
196,Thriller,2017,117,90.7,48.04,65.16,2995,6.5,69,78,7.8,No,No,561.89
197,Sci-Fi,2023,126,32.09,17.17,38.35,2100,7.7,86,94,8.7,No,No,528.68
198,Horror,2020,134,61.17,24.37,23.84,2117,7.5,92,78,3.6,Yes,Yes,377.41
199,Comedy,2025,75,34.51,18.0,17.18,1572,6.8,62,82,5.6,Yes,Yes,298.81
200,Animation,2013,95,151.48,68.82,58.3,3274,7.7,92,85,7.5,Yes,No,1200.0
201,Animation,2013,117,27.64,10.19,34.97,2371,7.2,85,96,7.1,No,No,424.03
202,Action,2014,146,57.31,12.73,51.45,2469,6.7,87,69,7.7,Yes,No,891.13
203,Adventure,2015,128,68.13,22.72,29.51,2287,7.0,71,73,3.8,No,No,541.12
204,Animation,2014,122,71.09,26.61,44.61,2513,6.7,75,76,2.8,No,No,628.41
205,Drama,2023,110,37.7,18.68,36.17,2210,6.2,72,66,9.3,Yes,No,311.93
206,Horror,2024,124,30.73,10.53,35.04,2171,8.1,96,91,6.5,Yes,No,368.55
207,Horror,2016,103,38.05,19.37,22.2,1550,6.6,78,73,3.2,No,No,196.5
208,Drama,2025,99,77.54,32.55,43.81,2597,6.4,60,77,8.3,No,No,353.62
209,Fantasy,2011,101,50.09,10.26,46.87,2031,5.9,70,80,9.3,No,No,481.7
210,Drama,2016,142,92.28,50.57,39.09,3151,5.0,78,63,3.4,No,No,301.89
211,Drama,2019,98,74.99,27.06,47.64,2541,7.7,91,90,8.5,No,No,371.9
212,Horror,2016,107,12.52,3.84,29.46,2330,7.7,98,79,9.5,No,No,218.0
213,Romance,2010,124,64.6,26.72,52.38,2231,8.1,98,92,9.5,No,No,303.47
214,Horror,2016,97,237.49,45.97,96.8,3805,7.0,92,78,9.3,No,No,804.65
215,Adventure,2014,120,130.16,52.66,77.89,3719,6.8,79,86,6.4,Yes,Yes,1200.0
216,Action,2012,120,72.36,25.27,25.32,2669,6.7,80,72,4.8,No,No,527.12
217,Thriller,2025,103,27.63,8.64,23.56,1691,6.8,79,72,2.1,No,No,212.83
218,Romance,2022,110,75.02,39.85,43.89,2924,8.0,88,95,2.5,Yes,Yes,541.26
219,Comedy,2012,96,88.96,31.94,60.65,2334,7.1,86,99,5.4,Yes,Yes,713.31
220,Thriller,2013,143,46.64,11.08,29.29,2333,7.4,77,84,5.2,No,No,318.47
221,Action,2022,120,67.57,22.54,25.37,3326,6.7,94,81,3.5,Yes,Yes,795.78
222,Adventure,2021,94,146.73,75.97,66.89,2405,8.2,81,99,5.2,Yes,Yes,1200.0
223,Adventure,2011,118,31.5,6.94,14.34,1996,5.6,72,73,3.4,No,No,275.91
224,Comedy,2011,118,27.64,6.51,26.5,2253,6.1,83,78,8.8,No,No,227.72
225,Romance,2010,75,86.28,13.39,55.33,2959,7.4,80,85,4.4,No,No,346.94
226,Fantasy,2024,142,74.05,11.53,57.28,1846,8.5,82,96,6.8,No,No,678.67
227,Drama,2014,95,107.35,51.72,77.8,1998,6.9,89,74,6.0,No,No,452.06
228,Romance,2013,157,79.65,35.27,31.67,3062,6.4,74,80,2.4,No,No,309.55
229,Fantasy,2020,131,38.03,11.11,42.03,1782,7.9,95,95,9.5,Yes,Yes,801.58
230,Adventure,2019,92,72.84,31.27,47.48,2074,7.4,81,92,6.2,No,No,729.55
231,Horror,2024,109,26.18,8.07,27.5,2811,8.1,98,89,4.6,No,No,193.61
232,Action,2011,133,46.74,24.83,22.73,2256,6.1,48,80,3.3,No,No,426.13
233,Comedy,2012,110,76.26,40.94,51.29,2524,8.1,93,99,4.7,No,No,391.26
234,Action,2016,139,43.51,13.36,1.79,2102,5.9,80,60,2.2,No,No,269.65
235,Sci-Fi,2016,107,273.57,120.0,122.89,3650,6.9,78,78,4.9,No,No,1200.0
236,Sci-Fi,2021,113,16.08,7.38,32.74,2283,7.4,85,97,6.3,Yes,Yes,624.42
237,Romance,2013,134,38.53,10.56,37.33,2351,7.2,76,78,9.0,No,No,266.22
238,Adventure,2014,127,29.9,7.26,36.89,2153,7.9,87,96,7.5,No,No,499.22
239,Adventure,2014,96,34.89,11.63,5.32,2056,5.6,47,68,2.9,No,No,227.01
240,Drama,2015,124,36.21,16.75,34.06,1980,7.2,73,87,3.2,No,No,215.78
241,Drama,2025,118,23.22,12.4,22.62,2465,8.1,81,93,5.4,No,No,218.59
242,Drama,2023,97,89.71,40.86,66.81,2537,7.1,86,90,3.6,Yes,Yes,600.43
243,Horror,2018,87,38.54,18.96,13.26,2115,6.2,64,65,2.2,Yes,No,258.61
244,Thriller,2011,76,61.17,23.93,32.53,2615,7.9,82,83,8.4,No,No,462.71
245,Animation,2014,109,41.46,20.07,6.3,2277,6.6,70,91,2.2,No,No,279.29
246,Thriller,2021,114,35.1,16.28,35.73,2937,6.4,65,95,8.6,Yes,Yes,485.73
247,Action,2012,125,163.09,49.06,90.53,2387,6.3,74,75,3.2,Yes,Yes,1200.0
248,Thriller,2013,131,100.21,37.16,48.95,2852,6.9,81,96,9.8,No,No,481.9
249,Horror,2019,107,16.33,7.71,15.17,1594,7.2,88,77,6.8,No,No,164.65
250,Action,2015,113,15.24,2.57,36.27,1466,6.1,76,68,7.9,No,No,429.43
251,Thriller,2021,100,108.31,51.26,40.59,2546,6.2,76,87,2.9,Yes,Yes,769.63
252,Horror,2017,117,39.23,8.68,40.92,2180,6.5,70,84,8.9,No,No,273.52
253,Animation,2010,134,18.83,6.7,23.06,2019,6.3,67,89,8.7,Yes,Yes,506.28
254,Thriller,2019,117,108.53,51.37,50.46,2018,7.1,70,87,7.2,No,No,564.46
255,Horror,2023,138,61.39,15.44,37.42,2082,7.4,73,77,6.0,No,No,366.1
256,Drama,2017,134,64.77,16.08,44.93,2524,7.3,83,87,7.8,Yes,Yes,536.69
257,Adventure,2020,144,93.09,28.96,38.71,2199,7.3,74,96,2.0,No,No,639.67
258,Drama,2023,118,23.47,11.92,31.76,1454,8.4,98,95,6.7,No,No,173.36
259,Adventure,2016,104,19.05,2.86,34.19,843,7.4,82,83,8.8,No,No,517.07
260,Comedy,2025,127,153.69,78.47,72.11,2852,7.7,98,93,4.9,No,No,607.5
261,Comedy,2025,108,21.61,4.57,4.04,1420,6.8,82,75,2.9,Yes,Yes,195.81
262,Comedy,2010,127,24.85,13.57,15.1,1532,7.9,79,94,5.4,No,No,144.32
263,Animation,2011,102,28.3,15.05,30.1,1919,6.7,74,80,7.8,No,No,401.01
264,Drama,2012,98,212.58,73.95,72.34,3413,7.4,65,82,2.9,No,No,542.68
265,Adventure,2010,139,75.8,26.92,34.26,1899,6.0,70,81,3.6,No,No,507.53
266,Horror,2023,95,103.01,35.29,57.05,1669,7.2,73,90,3.2,No,No,354.59
267,Action,2018,135,62.48,25.25,25.4,2513,6.3,60,72,8.4,No,No,562.53
268,Horror,2017,127,37.19,6.93,21.84,2511,7.8,98,90,2.5,No,No,198.68
269,Action,2011,117,82.9,13.52,51.16,2348,7.8,96,88,7.5,Yes,No,1082.56
270,Sci-Fi,2022,77,20.0,3.46,7.16,1847,6.7,85,73,4.9,No,No,283.87
271,Horror,2018,145,26.99,8.85,26.21,2044,8.7,98,84,8.0,No,No,294.59
272,Thriller,2016,96,88.57,23.05,47.07,3387,6.9,65,77,9.7,Yes,Yes,812.2
273,Thriller,2018,134,22.76,9.08,7.48,1221,5.8,62,64,2.9,Yes,Yes,203.99
274,Romance,2015,101,48.64,26.6,26.63,2031,6.5,70,78,4.5,No,No,260.3
275,Drama,2015,100,50.1,15.26,23.13,1390,6.3,54,79,8.5,Yes,No,208.52
276,Action,2020,128,39.01,14.81,42.7,2332,7.4,76,79,4.1,Yes,No,653.45
277,Action,2023,126,15.47,4.89,13.59,1867,6.1,64,76,3.7,No,No,175.45
278,Drama,2013,92,36.54,17.86,33.91,2230,6.7,76,70,8.6,Yes,Yes,317.19
279,Animation,2019,144,32.17,16.44,48.86,2166,7.4,98,85,9.9,No,No,543.06
280,Romance,2019,111,61.09,30.6,32.86,2845,7.2,80,79,6.5,No,No,250.39
281,Animation,2022,116,59.1,31.9,40.08,2601,7.1,80,90,4.2,No,No,584.66
282,Animation,2022,109,70.32,11.32,32.71,2848,7.2,77,85,5.2,No,No,519.96
283,Animation,2011,93,35.44,17.22,24.25,1586,6.8,83,79,3.4,No,No,275.62
284,Drama,2016,130,77.26,34.82,52.03,3092,5.8,55,64,8.1,No,No,355.43
285,Animation,2014,121,20.0,4.83,25.04,1619,6.8,95,77,8.2,No,No,326.72
286,Thriller,2020,99,16.83,8.96,30.44,1619,7.5,82,99,9.0,No,No,296.69
287,Comedy,2015,134,12.05,2.52,8.06,2044,7.0,74,77,2.2,Yes,No,161.52
